epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2616.9,0.38122,0.67354,0.23414,0.99152,0.99954,1,0.995,0.93747,0.99954,1,0.995,0.91683,0.42179,0.70956,0.24016,0.93306,0.0006932,0.0006932,0.0006932
68,2659.37,0.37317,0.66344,0.23132,0.98916,0.99955,1,0.995,0.92314,0.99955,1,0.995,0.91303,0.46036,0.68522,0.24643,0.989,0.0006734,0.0006734,0.0006734
69,2702.36,0.38536,0.67403,0.23558,0.99829,0.9995,1,0.995,0.93051,0.9995,1,0.995,0.90847,0.43114,0.70564,0.23555,0.93421,0.0006536,0.0006536,0.0006536
70,2746.65,0.37866,0.66114,0.23445,0.99103,0.9991,1,0.995,0.92425,0.9991,1,0.995,0.90113,0.426,0.75633,0.24563,0.95265,0.0006338,0.0006338,0.0006338
71,2789.61,0.37183,0.6637,0.23388,0.98807,0.99912,1,0.995,0.92621,0.99912,1,0.995,0.9113,0.41539,0.7163,0.2547,0.94483,0.000614,0.000614,0.000614
72,2832.11,0.37181,0.6386,0.2255,0.99045,0.99953,1,0.995,0.93329,0.99953,1,0.995,0.91634,0.41652,0.71842,0.22341,0.95759,0.0005942,0.0005942,0.0005942
73,2874.5,0.36561,0.65238,0.22538,0.98651,0.99957,1,0.995,0.93452,0.99957,1,0.995,0.91614,0.41019,0.73803,0.22236,0.93633,0.0005744,0.0005744,0.0005744
74,2916.88,0.35731,0.63501,0.22284,0.97965,0.99951,1,0.995,0.93525,0.99951,1,0.995,0.91857,0.4074,0.71116,0.22331,0.92466,0.0005546,0.0005546,0.0005546
75,2959.32,0.36339,0.63507,0.22236,0.98742,0.99963,1,0.995,0.9296,0.99963,1,0.995,0.9132,0.42648,0.73893,0.24425,0.94218,0.0005348,0.0005348,0.0005348
76,3001.71,0.36351,0.61867,0.22039,0.9858,0.9996,1,0.995,0.93791,0.9996,1,0.995,0.91904,0.40468,0.72707,0.22783,0.91818,0.000515,0.000515,0.000515
77,3044.39,0.34413,0.60775,0.2138,0.97941,0.99961,1,0.995,0.93743,0.99961,1,0.995,0.91662,0.40758,0.73205,0.22334,0.9105,0.0004952,0.0004952,0.0004952
78,3087.38,0.34474,0.61124,0.21021,0.97893,0.99954,1,0.995,0.92953,0.99954,1,0.995,0.91412,0.39859,0.7128,0.21917,0.91902,0.0004754,0.0004754,0.0004754
79,3131.35,0.34129,0.59689,0.21361,0.97087,0.99962,1,0.995,0.92949,0.99962,1,0.995,0.91787,0.40599,0.76554,0.21237,0.93056,0.0004556,0.0004556,0.0004556
80,3174.22,0.33991,0.60307,0.21128,0.97094,0.99966,1,0.995,0.93402,0.99966,1,0.995,0.91535,0.39535,0.71603,0.23937,0.92737,0.0004358,0.0004358,0.0004358
81,3216.71,0.34811,0.60731,0.21653,0.97669,0.99967,1,0.995,0.93428,0.99967,1,0.995,0.92295,0.3966,0.71683,0.21471,0.9191,0.000416,0.000416,0.000416
82,3259.3,0.34719,0.62065,0.21329,0.97793,0.99928,1,0.995,0.93478,0.99928,1,0.995,0.92426,0.40791,0.70191,0.22484,0.93326,0.0003962,0.0003962,0.0003962
83,3301.82,0.33754,0.5907,0.20735,0.96698,0.99964,1,0.995,0.9317,0.99964,1,0.995,0.9214,0.41257,0.74008,0.23946,0.94404,0.0003764,0.0003764,0.0003764
84,3344.39,0.33038,0.59927,0.20563,0.96424,0.99945,1,0.995,0.93179,0.99945,1,0.995,0.92021,0.40484,0.72276,0.23294,0.93352,0.0003566,0.0003566,0.0003566
85,3387.62,0.3235,0.58972,0.20101,0.95924,0.99964,1,0.995,0.92929,0.99964,1,0.995,0.91625,0.40193,0.74309,0.22463,0.94055,0.0003368,0.0003368,0.0003368
86,3430.39,0.32854,0.59396,0.20036,0.96402,0.99965,1,0.995,0.93234,0.99965,1,0.995,0.91825,0.42072,0.75837,0.22328,0.97296,0.000317,0.000317,0.000317
87,3472.93,0.32106,0.56496,0.19897,0.95432,0.99949,1,0.995,0.93934,0.99949,1,0.995,0.92395,0.3884,0.70867,0.21176,0.92823,0.0002972,0.0002972,0.0002972
88,3516.56,0.32129,0.57005,0.19901,0.95699,0.99958,1,0.995,0.92543,0.99958,1,0.995,0.9176,0.4194,0.70358,0.227,0.98059,0.0002774,0.0002774,0.0002774
89,3559.64,0.31954,0.5571,0.19689,0.963,0.99961,1,0.995,0.93057,0.99961,1,0.995,0.91848,0.40538,0.77221,0.21758,0.9675,0.0002576,0.0002576,0.0002576
90,3601.96,0.31938,0.55337,0.19165,0.96015,0.99963,1,0.995,0.93102,0.99963,1,0.995,0.92009,0.41232,0.75104,0.22702,0.95756,0.0002378,0.0002378,0.0002378
91,3669.02,0.22593,0.41763,0.18168,0.93421,0.99968,1,0.995,0.93417,0.99968,1,0.995,0.92102,0.41676,0.76025,0.25649,0.95095,0.000218,0.000218,0.000218
92,3712.16,0.2144,0.39966,0.1596,0.93206,0.99969,1,0.995,0.93771,0.99969,1,0.995,0.93087,0.40866,0.76913,0.22755,0.97753,0.0001982,0.0001982,0.0001982
93,3756.01,0.21726,0.39126,0.16306,0.93485,0.99969,1,0.995,0.93708,0.99969,1,0.995,0.92813,0.41806,0.77153,0.23194,0.97822,0.0001784,0.0001784,0.0001784
94,3800.47,0.20451,0.39158,0.16247,0.92455,0.9997,1,0.995,0.93496,0.9997,1,0.995,0.92533,0.43006,0.77369,0.23752,1.01545,0.0001586,0.0001586,0.0001586
95,3845.48,0.20692,0.3976,0.15912,0.92415,0.99971,1,0.995,0.93494,0.99971,1,0.995,0.92886,0.41198,0.75947,0.21578,0.98578,0.0001388,0.0001388,0.0001388
96,3889.34,0.19871,0.38521,0.15269,0.92307,0.99969,1,0.995,0.93874,0.99969,1,0.995,0.92813,0.40948,0.78233,0.22466,0.98288,0.000119,0.000119,0.000119
97,3933.27,0.18635,0.37767,0.14956,0.90484,0.99967,1,0.995,0.93586,0.99967,1,0.995,0.92787,0.40808,0.80646,0.22953,0.9953,9.92e-05,9.92e-05,9.92e-05
98,3976.6,0.18455,0.37352,0.14284,0.90462,0.99969,1,0.995,0.93686,0.99969,1,0.995,0.92972,0.42046,0.77752,0.22451,1.00887,7.94e-05,7.94e-05,7.94e-05
99,4019.98,0.18256,0.3752,0.14012,0.90609,0.99971,1,0.995,0.93796,0.99971,1,0.995,0.93049,0.40751,0.78207,0.22254,0.9882,5.96e-05,5.96e-05,5.96e-05
100,4063.43,0.1785,0.36896,0.14431,0.90146,0.99967,1,0.995,0.93646,0.99967,1,0.995,0.92918,0.4026,0.7908,0.21607,0.99404,3.98e-05,3.98e-05,3.98e-05
